C�digo Dependencia;Dependencia;EsPP;CodBPIN;Nombre Proyecto;Comuna;Nombre Comuna;Inversi�n;A�o;Corte;;;
701;Privada;0;160387;FORTALECIMIENTO DE LA GOBERNABILIDAD DEL CONGLOMERADO P�BLICO;97;Fortalecimiento Institucional;$380.349.999;2020;31-dic-20;;;
701;Privada;0;160376;FORTALECIMIENTO DE LA ALCALD�A EN EL TERRITORIO;97;Fortalecimiento Institucional;$1.763.923.664;2020;31-dic-20;;;
702;Comunicaciones;0;160400;DESARROLLO DE MEDIOS CIUDADANOS PARA LA INTERACCI�N Y MOVILIZACI�N SOCIAL;99;Toda la Ciudad;$193.712.077;2020;31-dic-20;;;
702;Comunicaciones;1;190060;20PP10-FORTALECIMIENTO DE LOS MEDIOS Y PROCESOS DE COMUNICACI�N;10;La Candelaria;$295.134.495;2020;31-dic-20;;;
702;Comunicaciones;1;190129;20PP13-FORTALECIMIENTO DE LOS MEDIOS Y PROCESOS DE COMUNICACI�N COMUNITARIA COMUNA 13 - SAN JAVIER;13;San Javier;$323.813.777;2020;31-dic-20;;;
702;Comunicaciones;1;200011;20PP01-FORTALECIMIENTO DE MEDIOS Y PROCESOS DE COMUNICACI�N COMUNITARIA DEL TERRITORIO;1;Popular;$373.364.014;2020;31-dic-20;;;
702;Comunicaciones;0;160399;DIFUSI�N DE LA COMUNICACI�N PARA LA MOVILIZACI�N, LA PARTICIPACI�N Y LA CULTURA CIUDADANA;99;Toda la Ciudad;$1.042.842.991;2020;31-dic-20;;;
702;Comunicaciones;0;160401;DIVULGACI�N DE LAS ESTRATEGIAS DE COMUNICACIONES;99;Toda la Ciudad;$14.567.676.143;2020;31-dic-20;;;
703;Eval y Control;0;160367;PREVENCI�N DE LA LUCHA CONTRA LA CORRUPCI�N;97;Fortalecimiento Institucional;$4.464.298;2020;31-dic-20;;;
703;Eval y Control;0;160371;ADMINISTRACI�N Y AUTOMATIZACI�N DE PROCESOS DE CONTROL INTERNO;97;Fortalecimiento Institucional;$93.763.158;2020;31-dic-20;;;
703;Eval y Control;0;160372;DESARROLLO DE PROCESOS INTEGRALES DE EVALUACI�N INSTITUCIONAL QUE PERMITAN MEJORAR LA GESTI�N;97;Fortalecimiento Institucional;$752.408.974;2020;31-dic-20;;;
704;Hacienda;0;160433;ADMINISTRACI�N DE EXCEDENTES DE LIQUIDEZ;97;Fortalecimiento Institucional;$175.208.075;2020;31-dic-20;;;
704;Hacienda;0;160501;ADMINISTRACI�N DOCUMENTAL MASIVA HACIENDA P�BLICA;97;Fortalecimiento Institucional;$1.435.364.024;2020;31-dic-20;;;
704;Hacienda;0;190118;APORTES ASOCAPITALES;99;Toda la Ciudad;$1.923.746.942;2020;31-dic-20;;;
704;Hacienda;0;160429;ADMINISTRACI�N DE LA INFORMACI�N CONTABLE DEL MUNICIPIO DE MEDELL�N;97;Fortalecimiento Institucional;$1.948.729.597;2020;31-dic-20;;;
704;Hacienda;0;200016;APORTES RUTA N;99;Toda la Ciudad;$3.000.000.000;2020;31-dic-20;;;
704;Hacienda;0;170049;ADMINISTRACI�N DEL PASIVO PENSIONAL DE EMVARIAS;97;Fortalecimiento Institucional;$3.095.000.000;2020;31-dic-20;;;
704;Hacienda;0;160129;IMPLEMENTACI�N DE ESTRATEGIAS PARA LA GESTI�N DE RECURSOS;97;Fortalecimiento Institucional;$6.212.319.566;2020;31-dic-20;;;
704;Hacienda;0;190127;RECUPERACI�N FINANCIERA METROPARQUES;97;Fortalecimiento Institucional;$11.000.000.000;2020;31-dic-20;;;
704;Hacienda;0;160434;NORMALIZACI�N DE LA CARTERA MOROSA DEL MUNICIPIO DE MEDELL�N;97;Fortalecimiento Institucional;$15.568.300.119;2020;31-dic-20;;;
704;Hacienda;0;200113;AMPLIACI�N DEL ACCESO Y LA PERMANENCIA EN LA EDUCACI�N POSTSECUNDARIA;97;Fortalecimiento Institucional;$16.230.000.000;2020;31-dic-20;;;
704;Hacienda;0;160390;FORTALECIMIENTO  DE LA GESTI�N Y CONTROL EN LA ADMINISTRACI�N, FISCALIZACI�N Y LIQUIDACI�N DE LOS INGRESOS TRIBUTARIOS;97;Fortalecimiento Institucional;$16.749.621.829;2020;31-dic-20;;;
704;Hacienda;0;40320;ACUERDO  METRO;99;Toda la Ciudad;$48.258.816.000;2020;31-dic-20;;;
704;Hacienda;0;160432;ASISTENCIA AMBIENTAL POR TRANSFERENCIAS AL �REA METROPOLITANA;99;Toda la Ciudad;$79.324.437.191;2020;31-dic-20;;;
705;General;0;160408;ADMINISTRACI�N DE LA INFORMACI�N JUR�DICA;99;Toda la Ciudad;$836.218.386;2020;31-dic-20;;;
705;General;0;160407;APOYO A LA TRANSFERENCIA DEL CONOCIMIENTO JUR�DICO;99;Toda la Ciudad;$1.637.392.701;2020;31-dic-20;;;
706;G. Hum. y Serv.a la Ciud.;0;160184;FORTALECIMIENTO DEL SISTEMA DE SERVICIO A LA CIUDADAN�A;50;San Sebasti�n de Palmitas;$10.387.696;2020;31-dic-20;;;
706;G. Hum. y Serv.a la Ciud.;0;160184;FORTALECIMIENTO DEL SISTEMA DE SERVICIO A LA CIUDADAN�A;70;Altavista;$23.865.945;2020;31-dic-20;;;
706;G. Hum. y Serv.a la Ciud.;0;160184;FORTALECIMIENTO DEL SISTEMA DE SERVICIO A LA CIUDADAN�A;90;Santa Elena;$36.228.160;2020;31-dic-20;;;
706;G. Hum. y Serv.a la Ciud.;0;160198;APORTES AL FONPET - LEY 549 DE 1999;97;Fortalecimiento Institucional;$89.999.331;2020;31-dic-20;;;
706;G. Hum. y Serv.a la Ciud.;0;160184;FORTALECIMIENTO DEL SISTEMA DE SERVICIO A LA CIUDADAN�A;60;San Cristobal;$138.044.744;2020;31-dic-20;;;
706;G. Hum. y Serv.a la Ciud.;0;160184;FORTALECIMIENTO DEL SISTEMA DE SERVICIO A LA CIUDADAN�A;80;San Antonio de Prado;$179.466.753;2020;31-dic-20;;;
706;G. Hum. y Serv.a la Ciud.;0;160191;CONSOLIDACI�N DE LOS SISTEMAS DE GESTI�N INTELIGENTES PARA UN BUEN GOBIERNO;97;Fortalecimiento Institucional;$254.528.517;2020;31-dic-20;;;
706;G. Hum. y Serv.a la Ciud.;0;160184;FORTALECIMIENTO DEL SISTEMA DE SERVICIO A LA CIUDADAN�A;15;Guayabal;$276.309.689;2020;31-dic-20;;;
706;G. Hum. y Serv.a la Ciud.;0;160184;FORTALECIMIENTO DEL SISTEMA DE SERVICIO A LA CIUDADAN�A;6;Doce de Octubre;$276.309.689;2020;31-dic-20;;;
706;G. Hum. y Serv.a la Ciud.;0;160184;FORTALECIMIENTO DEL SISTEMA DE SERVICIO A LA CIUDADAN�A;8;Villa Hermosa;$276.309.689;2020;31-dic-20;;;
706;G. Hum. y Serv.a la Ciud.;0;160184;FORTALECIMIENTO DEL SISTEMA DE SERVICIO A LA CIUDADAN�A;11;Laureles - Estadio;$276.309.689;2020;31-dic-20;;;
706;G. Hum. y Serv.a la Ciud.;0;160184;FORTALECIMIENTO DEL SISTEMA DE SERVICIO A LA CIUDADAN�A;12;La Am�rica;$276.309.689;2020;31-dic-20;;;
706;G. Hum. y Serv.a la Ciud.;0;160184;FORTALECIMIENTO DEL SISTEMA DE SERVICIO A LA CIUDADAN�A;2;Santa Cruz;$276.309.689;2020;31-dic-20;;;
706;G. Hum. y Serv.a la Ciud.;0;160184;FORTALECIMIENTO DEL SISTEMA DE SERVICIO A LA CIUDADAN�A;4;Aranjuez;$368.412.920;2020;31-dic-20;;;
706;G. Hum. y Serv.a la Ciud.;0;160184;FORTALECIMIENTO DEL SISTEMA DE SERVICIO A LA CIUDADAN�A;10;La Candelaria;$368.412.920;2020;31-dic-20;;;
706;G. Hum. y Serv.a la Ciud.;0;160184;FORTALECIMIENTO DEL SISTEMA DE SERVICIO A LA CIUDADAN�A;1;Popular;$368.412.920;2020;31-dic-20;;;
706;G. Hum. y Serv.a la Ciud.;0;160184;FORTALECIMIENTO DEL SISTEMA DE SERVICIO A LA CIUDADAN�A;5;Castilla;$368.412.920;2020;31-dic-20;;;
706;G. Hum. y Serv.a la Ciud.;0;160184;FORTALECIMIENTO DEL SISTEMA DE SERVICIO A LA CIUDADAN�A;3;Manrique;$460.516.149;2020;31-dic-20;;;
706;G. Hum. y Serv.a la Ciud.;0;160184;FORTALECIMIENTO DEL SISTEMA DE SERVICIO A LA CIUDADAN�A;9;Buenos Aires;$460.516.149;2020;31-dic-20;;;
706;G. Hum. y Serv.a la Ciud.;0;160184;FORTALECIMIENTO DEL SISTEMA DE SERVICIO A LA CIUDADAN�A;13;San Javier;$460.516.149;2020;31-dic-20;;;
706;G. Hum. y Serv.a la Ciud.;0;160184;FORTALECIMIENTO DEL SISTEMA DE SERVICIO A LA CIUDADAN�A;14;El Poblado;$460.516.149;2020;31-dic-20;;;
