Año,Emisión Total,Indicator Name,
2009,793300.0,Emisiones de metano(kt de equivalente de CO2),
2010,801500.0,Emisiones de metano(kt de equivalente de CO2),
2011,799470.0,Emisiones de metano(kt de equivalente de CO2),
2012,808440.0,Emisiones de metano(kt de equivalente de CO2),
2013,808910.0,Emisiones de metano(kt de equivalente de CO2),
2014,815900.0,Emisiones de metano(kt de equivalente de CO2),
2015,822510.0,Emisiones de metano(kt de equivalente de CO2),
2016,826290.0,Emisiones de metano(kt de equivalente de CO2),
2017,827520.0,Emisiones de metano(kt de equivalente de CO2),
2018,823470.0,Emisiones de metano(kt de equivalente de CO2),
